1,1000,18246
1,10000,12560
1,100000,6503
1,1000000,19308
1,2000000,30538
1,15000000,111201
1,30000000,198883
1,60000000,389659
2,1000,11315
2,10000,6362
2,100000,7486
2,1000000,10458
2,2000000,11231
2,15000000,51271
2,30000000,98518
2,60000000,191414
4,1000,5304
4,10000,4738
4,100000,3799
4,1000000,3606
4,2000000,8771
4,15000000,46213
4,30000000,73039
4,60000000,97910
6,1000,10021
6,10000,4151
6,100000,14694
6,1000000,9226
6,2000000,7596
6,15000000,20373
6,30000000,69061
6,60000000,71699
8,1000,3092
8,10000,5663
8,100000,5151
8,1000000,10032
8,2000000,8619
8,15000000,29011
8,30000000,47051
8,60000000,84050
16,1000,14766
16,10000,15479
16,100000,16543
16,1000000,12882
16,2000000,12093
16,15000000,34745
16,30000000,38583
16,60000000,58695
