1,1000,4676
1,10000,4616
1,100000,8367
1,1000000,7392
1,2000000,8983
1,15000000,22048
1,30000000,26186
1,60000000,69330
2,1000,5262
2,10000,6538
2,100000,6912
2,1000000,8971
2,2000000,6983
2,15000000,18104
2,30000000,28840
2,60000000,48756
4,1000,13275
4,10000,3645
4,100000,4918
4,1000000,3806
4,2000000,25463
4,15000000,26438
4,30000000,23198
4,60000000,39596
6,1000,3948
6,10000,8840
6,100000,11173
6,1000000,6748
6,2000000,8491
6,15000000,13138
6,30000000,16010
6,60000000,44337
8,1000,9670
8,10000,5292
8,100000,5083
8,1000000,18559
8,2000000,7250
8,15000000,12671
8,30000000,18287
8,60000000,37107
16,1000,20435
16,10000,10943
16,100000,10886
16,1000000,10679
16,2000000,6596
16,15000000,27554
16,30000000,27950
16,60000000,29253
