8,1024,0.018
8,4096,0.076
8,8192,0.137
8,32768,0.491
8,65536,1.276
8,131072,0.248
8,262144,0.355
8,524288,1.186
8,1048576,2.512
8,2097152,4.128
8,3145728,3.953
8,4194304,5.409
8,5242880,9.328
8,6291456,9.749
8,7340032,8.076
8,8388608,9.161
16,1024,0.014
16,4096,0.081
16,8192,0.142
16,32768,0.594
16,65536,1.323
16,131072,0.257
16,262144,0.585
16,524288,1.064
16,1048576,1.860
16,2097152,3.738
16,3145728,4.810
16,4194304,5.338
16,5242880,8.213
16,6291456,10.331
16,7340032,8.112
16,8388608,9.159
32,1024,0.015
32,4096,0.081
32,8192,0.139
32,32768,0.569
32,65536,1.052
32,131072,0.206
32,262144,0.534
32,524288,1.059
32,1048576,2.494
32,2097152,4.331
32,3145728,4.253
32,4194304,4.725
32,5242880,9.636
32,6291456,7.117
32,7340032,11.142
32,8388608,9.444
64,1024,0.014
64,4096,0.054
64,8192,0.105
64,32768,0.434
64,65536,0.899
64,131072,0.271
64,262144,0.553
64,524288,1.158
64,1048576,2.358
64,2097152,2.842
64,3145728,3.920
64,4194304,5.252
64,5242880,7.873
64,6291456,6.976
64,7340032,9.945
64,8388608,12.991
128,1024,0.018
128,4096,0.051
128,8192,0.136
128,32768,0.658
128,65536,0.956
128,131072,0.314
128,262144,0.621
128,524288,1.181
128,1048576,1.965
128,2097152,2.859
128,3145728,5.110
128,4194304,6.446
128,5242880,5.953
128,6291456,7.111
128,7340032,10.770
128,8388608,9.144
256,1024,0.020
256,4096,0.054
256,8192,0.107
256,32768,0.433
256,65536,0.802
256,131072,0.244
256,262144,0.418
256,524288,0.925
256,1048576,2.358
256,2097152,4.285
256,3145728,5.773
256,4194304,7.231
256,5242880,6.250
256,6291456,11.313
256,7340032,11.543
256,8388608,10.717
512,1024,0.019
512,4096,0.057
512,8192,0.107
512,32768,0.583
512,65536,1.137
512,131072,0.276
512,262144,0.587
512,524288,0.739
512,1048576,2.439
512,2097152,4.313
512,3145728,5.845
512,4194304,4.736
512,5242880,9.119
512,6291456,10.073
512,7340032,8.076
512,8388608,9.279
