8,1024,0.013
8,4096,0.057
8,8192,0.098
8,32768,0.423
8,65536,1.255
8,131072,2.167
8,262144,0.556
8,524288,0.723
8,1048576,2.352
8,2097152,4.955
8,3145728,5.161
8,4194304,4.783
8,5242880,5.870
8,6291456,11.005
8,7340032,8.095
8,8388608,9.858
16,1024,0.018
16,4096,0.056
16,8192,0.107
16,32768,0.569
16,65536,0.986
16,131072,1.777
16,262144,0.359
16,524288,1.005
16,1048576,2.174
16,2097152,3.893
16,3145728,5.116
16,4194304,4.761
16,5242880,5.860
16,6291456,7.051
16,7340032,8.180
16,8388608,9.317
32,1024,0.012
32,4096,0.056
32,8192,0.104
32,32768,0.590
32,65536,1.285
32,131072,1.302
32,262144,0.499
32,524288,0.921
32,1048576,2.130
32,2097152,3.538
32,3145728,5.476
32,4194304,4.837
32,5242880,8.661
32,6291456,6.809
32,7340032,9.218
32,8388608,10.324
64,1024,0.017
64,4096,0.055
64,8192,0.140
64,32768,0.603
64,65536,1.105
64,131072,2.558
64,262144,0.576
64,524288,1.027
64,1048576,1.771
64,2097152,3.801
64,3145728,4.840
64,4194304,4.799
64,5242880,6.289
64,6291456,7.083
64,7340032,9.625
64,8388608,11.695
128,1024,0.019
128,4096,0.073
128,8192,0.156
128,32768,0.410
128,65536,1.208
128,131072,2.158
128,262144,0.468
128,524288,1.261
128,1048576,2.483
128,2097152,4.129
128,3145728,3.933
128,4194304,4.751
128,5242880,5.844
128,6291456,9.637
128,7340032,8.250
128,8388608,9.322
256,1024,0.019
256,4096,0.081
256,8192,0.160
256,32768,0.556
256,65536,0.845
256,131072,2.194
256,262144,0.577
256,524288,0.707
256,1048576,1.451
256,2097152,4.516
256,3145728,4.556
256,4194304,6.160
256,5242880,8.507
256,6291456,7.106
256,7340032,9.287
256,8388608,9.174
512,1024,0.016
512,4096,0.075
512,8192,0.142
512,32768,0.419
512,65536,0.780
512,131072,2.332
512,262144,0.520
512,524288,1.026
512,1048576,2.074
512,2097152,2.890
512,3145728,3.798
512,4194304,7.502
512,5242880,5.873
512,6291456,10.921
512,7340032,8.784
512,8388608,7.865
